a,b,weight
Micrococcales,Mycobacteriales,33
Micrococcales,Pseudomonadota,29
Micrococcales,Staphylococcus,20
Micrococcales,T02545,48
Mycobacteriales,Pseudomonadota,25
Mycobacteriales,Staphylococcus,17
Mycobacteriales,T02545,41
Pseudomonadota,Staphylococcus,28
Pseudomonadota,T02545,45
Staphylococcus,T02545,25
Campylobacterales,Micrococcales,9
Campylobacterales,Mycobacteriales,11
Campylobacterales,Pseudomonadota,24
Campylobacterales,Staphylococcus,13
Campylobacterales,T00984,2
Campylobacterales,T02545,16
Campylobacterales,T08201,25
Micrococcales,T00984,1
Micrococcales,T08201,17
Mycobacteriales,T00984,1
Mycobacteriales,T08201,17
Pseudomonadota,T00984,1
Pseudomonadota,T01485,2
Pseudomonadota,T08201,30
Staphylococcus,T00984,3
Staphylococcus,T01485,1
Staphylococcus,T08201,16
T00984,T01485,2
T00984,T02545,1
T00984,T08201,7
T01485,T02545,1
T01485,T08201,3
T02545,T08201,24
Burkholderiales,Micrococcaceae,3
Burkholderiales,Staphylococcus,4
Burkholderiales,T02545,23
Burkholderiales,T06085,19
Burkholderiales,T06554,19
Burkholderiales,T06794,12
Micrococcaceae,Staphylococcus,1
Micrococcaceae,T02545,5
Micrococcaceae,T06085,4
Micrococcaceae,T06554,4
Micrococcaceae,T06794,2
Staphylococcus,T06085,8
Staphylococcus,T06554,3
Staphylococcus,T06794,6
T02545,T06085,22
T02545,T06554,16
T02545,T06794,27
T06085,T06554,19
T06085,T06794,8
T06554,T06794,7
Bacillota,Bacteroidales,4
Bacillota,Bifidobacterium,2
Bacillota,Coriobacteriia,4
Bacillota,T01461,7
Bacillota,T03770,2
Bacillota,T04453,5
Bacteroidales,Bifidobacterium,7
Bacteroidales,Campylobacter,2
Bacteroidales,Coriobacteriia,11
Bacteroidales,T00925,1
Bacteroidales,T01461,20
Bacteroidales,T03770,7
Bacteroidales,T04453,14
Bifidobacterium,Campylobacter,4
Bifidobacterium,Coriobacteriia,12
Bifidobacterium,T01461,14
Bifidobacterium,T03770,6
Bifidobacterium,T04453,8
Campylobacter,Coriobacteriia,3
Campylobacter,T00925,1
Campylobacter,T01461,4
Campylobacter,T03770,1
Campylobacter,T04453,5
Coriobacteriia,T00925,2
Coriobacteriia,T01461,18
Coriobacteriia,T03770,5
Coriobacteriia,T04453,19
T00925,T01461,1
T00925,T03770,1
T00925,T04453,2
T01461,T03770,11
T01461,T04453,29
T03770,T04453,8
Campylobacterales,T00447,1
Campylobacterales,T05201,1
Campylobacterales,T05843,3
Campylobacterales,T06794,3
Campylobacterales,T07267,1
Pseudomonadota,T00447,11
Pseudomonadota,T05201,9
Pseudomonadota,T05843,4
Pseudomonadota,T06794,15
Pseudomonadota,T07267,4
Staphylococcus,T00447,2
Staphylococcus,T05201,5
Staphylococcus,T05843,4
Staphylococcus,T07267,3
T00447,T02545,12
T00447,T05201,17
T00447,T05843,7
T00447,T06794,10
T00447,T07267,3
T02545,T05201,11
T02545,T05843,9
T02545,T07267,5
T05201,T05843,8
T05201,T06794,8
T05201,T07267,3
T05843,T06794,5
T05843,T07267,2
T06794,T07267,5
Bacillota,T05201,1
Bacteroidales,T00398,3
Bacteroidales,T02545,7
Bacteroidales,T05201,1
Bacteroidales,T08780,1
Bifidobacterium,T00398,3
Bifidobacterium,T02545,9
Bifidobacterium,T05201,4
Bifidobacterium,T08780,2
Coriobacteriia,T00398,5
Coriobacteriia,T02545,11
Coriobacteriia,T05201,4
Coriobacteriia,T08780,2
T00398,T01461,4
T00398,T02545,3
T00398,T05201,2
T01461,T02545,11
T01461,T05201,4
T01461,T08780,3
T02545,T03770,1
T02545,T08780,6
T05201,T08780,2
Staphylococcus,T00925,3
T00925,T05201,2
T00925,T06085,5
T05201,T06085,7
Burkholderiales,Micrococcales,12
Burkholderiales,Mycobacteriales,11
Burkholderiales,T04453,6
Micrococcales,T04453,12
Micrococcales,T06085,10
Micrococcales,T06554,10
Mycobacteriales,T04453,13
Mycobacteriales,T06085,10
Mycobacteriales,T06554,10
T02545,T04453,18
T04453,T06085,8
T04453,T06554,5
Burkholderiales,T00577,2
Burkholderiales,T08780,4
Lactobacillus,T02545,1
Lactobacillus,T08780,1
Micrococcales,T00577,1
Micrococcales,T02505,1
Micrococcales,T04222,1
Micrococcales,T08780,2
Mycobacteriales,T02505,1
Mycobacteriales,T04222,1
Mycobacteriales,T08780,2
T00577,T02545,1
T00577,T06085,2
T00577,T06554,2
T00577,T08780,2
T02505,T02545,1
T02505,T04222,3
T02505,T06554,1
T02545,T04222,1
T04222,T06554,1
T06085,T08780,5
T06554,T08780,4
Campylobacterales,T04182,3
Campylobacterales,T04453,16
Campylobacterales,T06584,11
Campylobacterales,T06719,2
Micrococcales,T04182,3
Micrococcales,T06584,5
Micrococcales,T06719,3
Mycobacteriales,T04182,3
Mycobacteriales,T06584,5
Mycobacteriales,T06719,2
Pseudomonadota,T04182,8
Pseudomonadota,T04453,18
Pseudomonadota,T06584,9
Pseudomonadota,T06719,2
Staphylococcus,T04182,4
Staphylococcus,T04453,14
Staphylococcus,T06584,14
Staphylococcus,T06719,3
T02545,T04182,6
T02545,T06584,10
T02545,T06719,3
T04182,T04453,8
T04182,T06584,6
T04182,T06719,4
T04182,T08201,7
T04453,T06584,25
T04453,T06719,5
T04453,T08201,28
T06584,T06719,6
T06584,T08201,20
T06719,T08201,5
Micrococcales,T06794,12
Micrococcales,T07267,1
Bacteroidales,Campylobacterales,5
Bacteroidales,Eubacteriales,12
Bacteroidales,Staphylococcus,10
Bacteroidales,T00964,11
Bacteroidales,T04481,1
Bacteroidales,T06584,12
Bacteroidales,T08201,16
Bifidobacterium,Campylobacterales,1
Bifidobacterium,Eubacteriales,7
Bifidobacterium,Staphylococcus,2
Bifidobacterium,T00964,8
Bifidobacterium,T04481,1
Bifidobacterium,T06584,6
Bifidobacterium,T08201,4
Campylobacterales,Coriobacteriia,7
Campylobacterales,Eubacteriales,2
Campylobacterales,T00964,6
Campylobacterales,T01461,14
Campylobacterales,T03770,1
Coriobacteriia,Eubacteriales,11
Coriobacteriia,Staphylococcus,9
Coriobacteriia,T00964,15
Coriobacteriia,T04481,1
Coriobacteriia,T06584,13
Coriobacteriia,T08201,15
